French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
genre,kind
frère,brother
laisser,let
aucun,no
laisse,leash
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
leurs,their
donné,given
train,train
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
pouvoir,power
sois,be
tiens,here
matin,morning
suite,after
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
